user_query,ground_truth
"""Prioritize and summarize all medium severity tickets in 'OperationalEfficiency' part needing a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""OperationalEfficiency""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[1]""}]}]"
List all P2 issues needing a response from User123 in the support stage.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}, {""argument_name"": ""owned_by"", ""argument_value"": [""User123""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""support""]}, {""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"List and prioritize all blocker severity tickets in the ""Quality Control"" stage for the part ""Sigma Initiative.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""Quality Control""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Sigma Initiative""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"Retrieve the ID of the ""Zeta Initiative"" and add all related P2 issues to the next sprint.","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Zeta Initiative""}]}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[1]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[2]""}]}]"
"Find all tasks related to part ""Gamma Project"" in the review stage and add them to the next sprint.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""applies_to_part"", ""argument_value"": [""Gamma Project""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""review""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[1]""}]}]"
Find all blocker tickets in the 'testing' stage from User321 and add them to the current sprint.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""testing""]}, {""argument_name"": ""owned_by"", ""argument_value"": [""User321""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""PREV[0]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""PREV[1]""}]}]"
"Retrieve the ID of the ""Nu Ventures"" project and add related p0 priority issues to the current sprint.","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Nu Ventures""}]}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p0""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[1]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[2]""}]}]"
"Retrieve the ID of the ""Kappa Project"" and add all related p2 priority issues to the current sprint.","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Kappa Project""}]}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[1]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[2]""}]}]"
Find all high priority tickets from email channel for Rev Org OPQ and add them to Sprint234.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""ticket.severity"", ""argument_value"": [""high""]}, {""argument_name"": ""ticket.source_channel"", ""argument_value"": [""email""]}, {""argument_name"": ""ticket.rev_org"", ""argument_value"": [""OPQ""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""Sprint234""}]}]"
List all p0 issues in the 'QA' stage for Part999 and add them to Sprint789.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""issue.priority"", ""argument_value"": [""p0""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""QA""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Part999""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""Sprint789""}]}]"
"Retrieve the ID of the ""Venus Venture"" and add all related p2 priority issues to the current sprint.","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Venus Venture""}]}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[1]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[2]""}]}]"
"Retrieve the ID of the ""Zeta Expansion"" project and add all related medium severity issues to the current sprint.","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Zeta Expansion""}]}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[1]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[2]""}]}]"
"Retrieve the ID of the ""Xi Project"" and add all related low severity tickets to the current sprint.","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""Xi Project""}]}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""low""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""get_sprint_id"", ""arguments"": []}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[1]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""$$PREV[2]""}]}]"
"""Summarize all P1 priority issues assigned to User456 in the development stage.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]},{""argument_name"": ""issue.priority"", ""argument_value"": [""p1""]}, {""argument_name"": ""owned_by"", ""argument_name"": [""User456""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""development""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
Create a list of all P3 issues that need a response and are related to Rev Org DEF.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}, {""argument_name"": ""issue.priority"", ""argument_value"": [""p3""]}, {""argument_name"": ""issue.rev_orgs"", ""argument_value"": [""DEF""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Find all blocker tickets under part 'SecurityEnhancements', prioritize them and summarize.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""blocker""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""SecurityEnhancements""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[1]""}]}]"
"""Summarize my tasks in 'Software Deployment' part that are in the 'Release' stage.""","[{""tool_name"": ""who_am_i"", ""arguments"": []}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]},{""argument_name"": ""stage.name"", ""argument_value"": [""Release""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""Software Deployment""]}, {""argument_name"": ""owned_by"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[1]""}]}]"
"""Summarize all tickets requiring a response in the 'product development' rev organization.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}, {""argument_name"": ""issue.rev_orgs"", ""argument_value"": [""product development""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Add all 'p2' priority issues in the part 'UX Research' to sprint 'Sprint500'.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""issue""]},{""argument_name"": ""issue.priority"", ""argument_value"": [""p2""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""UX Research""]}]}, {""tool_name"": ""add_work_items_to_sprint"", ""arguments"": [{""argument_name"": ""work_ids"", ""argument_value"": ""$$PREV[0]""}, {""argument_name"": ""sprint_id"", ""argument_value"": ""Sprint500""}]}]"
"""Retrieve and summarize all high priority tickets from the part 'RiskManagement' that require a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""high""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""RiskManagement""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"""Summarize all tasks owned by me under the part 'HRSoftwareUpgrade' in 'Design' stage.""","[{""tool_name"": ""who_am_i"", ""arguments"": []}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""stage.name"", ""argument_value"": [""Design""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""HRSoftwareUpgrade""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""owned_by"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[1]""}]}]"
"""Find and summarise all p0 priority issues in 'ApplicationOptimization', create actionable tasks.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p0""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""ApplicationOptimization""]}, {""argument_name"": ""type"", ""argument_value"": [""issue""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""$$PREV[1]""}]}]
"
"""List and summarize all high severity tickets under part 'GlobalMarketing' needing a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""High""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""GlobalMarketing""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}, { ""argument_name"": ""type"", ""argument_value"": [""ticket""] }]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
List all medium severity tickets from source channel 'forum' in the 'planning' stage and summarize them.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""ticket""]},{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""planning""]}, {""argument_name"": ""ticket.source_channel"", ""argument_value"": [""forum""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]"
"Find and summarize all tickets related to the part ""Sigma Initiative"" in the ""Research and Development"" which need a response.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""applies_to_part"", ""argument_value"": [""Sigma Initiative""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""Research and Development""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[0]""}]}]
"
"""List and summarize all tasks in the part 'CorporateStrategy' owned by me in 'Design' stage.""","[{""tool_name"": ""who_am_i"", ""arguments"": []}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""stage.name"", ""argument_value"": [""Design""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""CorporateStrategy""]}, {""argument_name"": ""owned_by"", ""argument_value"": ""$$PREV[0]""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[1]""}]}]"
"Retrieve my tasks in the 'planning' stage, summarize them, and prioritize them.","[{""tool_name"": ""who_am_i"", ""arguments"": []}, {""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""type"", ""argument_value"": [""task""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""planning""]}, {""argument_name"": ""owned_by"", ""argument_value"": ""PREV[0]""}]}, {""tool_name"": ""summarize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""PREV[1]""}]}, {""tool_name"": ""prioritize_objects"", ""arguments"": [{""argument_name"": ""objects"", ""argument_value"": ""$$PREV[1]""}]}]"
